,Unnamed: 0.1,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
98,,XGBClassifier,"{'max_depth': 7, 'eta': 0.2, 'gamma': 0.01}",0.8169599946968944,0.9948234794125204,0.8201320132013201,0.9944873208379272,0.7992424242424242,0.9899749373433584,0.7902621722846442,0.9974747474747476,0.7947269303201506,0.9937106918238994
99,,XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0.01}",0.816678267210235,0.9948234794125204,0.8184818481848185,0.9944873208379272,0.7896678966789668,0.9899749373433584,0.8014981273408239,0.9974747474747476,0.7955390334572491,0.9937106918238994
100,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.816678267210235,0.992866532250094,0.8184818481848185,0.9922822491730982,0.7896678966789668,0.9850374064837906,0.8014981273408239,0.9974747474747476,0.7955390334572491,0.9912170639899625
101,,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.816678267210235,0.9858590800371624,0.8184818481848185,0.9856670341786108,0.7896678966789668,0.9799498746867168,0.8014981273408239,0.9873737373737372,0.7955390334572491,0.9836477987421384
102,,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'logistic', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'adam'}",0.8166285505949422,0.8698605428057483,0.8135313531353136,0.8632855567805954,0.7601351351351351,0.7969432314410481,0.8426966292134831,0.9217171717171716,0.7992895204262875,0.8548009367681499
103,,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'sgd'}",0.8165622617745517,0.8778761193144755,0.8201320132013201,0.8787210584343991,0.8015267175572519,0.8539603960396039,0.7865168539325843,0.8712121212121212,0.7939508506616257,0.8624999999999999
104,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8165622617745517,0.9890786534622152,0.8201320132013201,0.9889746416758544,0.8015267175572519,0.984924623115578,0.7865168539325843,0.98989898989899,0.7939508506616257,0.9874055415617128
105,,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8162805342878924,0.9938450058313072,0.8184818481848185,0.9933847850055126,0.79182156133829,0.9875,0.797752808988764,0.9974747474747476,0.7947761194029851,0.992462311557789
106,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8162805342878924,0.9802723912312954,0.8184818481848185,0.9790518191841234,0.79182156133829,0.9631449631449632,0.797752808988764,0.98989898989899,0.7947761194029851,0.9763387297633872
107,,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8159988068012329,0.960954950680978,0.8168316831683168,0.9592061742006616,0.782608695652174,0.9346246973365616,0.8089887640449438,0.9747474747474748,0.7955801104972375,0.954264524103832
